43256.500 	34.67 	0.60  0.0	Va
43258.342 	33.82 	0.25  0.0	Va
43434.661 	49.45 	0.40  0.0	Va
43449.699 	50.27 	0.40  0.0	Va
43450.706 	49.92 	0.40  0.0	Va
43451.697 	49.37 	0.40  0.0	Va
43466.692 	51.11 	0.40  0.0	Va
43474.630 	50.75 	0.40  0.0	Va
43480.635 	51.99 	0.40  0.0	Va
43518.533 	51.95 	0.67  0.0	Va
43530.537 	52.72 	0.40  0.0	Va
43554.421 	53.39 	0.40  0.0	Va
43560.571 	53.73 	0.40  0.0	Va
43577.418 	54.22 	0.60  0.0	Va
43592.380 	54.36 	0.56  0.0	Va
43615.343 	55.28 	0.62  0.0	Va
43871.540 	56.33 	0.60  0.0	Va
43903.577 	56.10 	0.49  0.0	Va
43918.460 	55.82 	0.50  0.0	Va
44027.352 	54.48 	0.53  0.0	Va
44189.696 	38.67 	0.46  0.0	Va
44189.707 	38.31 	0.40  0.0	Va
44208.702 	35.88 	0.52  0.0	Va
44209.708 	35.40 	0.59  0.0	Va
44210.680 	35.19 	0.50  0.0	Va
44219.658 	34.54 	0.53  0.0	Va
44228.575 	33.81 	0.58  0.0	Va
44263.548 	33.72 	0.25  0.0	Va
44274.402 	35.15 	0.25  0.0	Va
44276.383 	35.12 	0.25  0.0	Va
44281.492 	36.25 	0.49  0.0	Va
44289.444 	36.59 	0.54  0.0	Va
44306.461 	38.35 	0.54  0.0	Va
44320.351 	39.69 	0.54  0.0	Va
44348.315 	44.16 	0.53  0.0	Va
44383.403 	45.47 	0.78  0.0	Va
44396.346 	46.25 	0.40  0.0	Va
44584.682 	54.56 	0.53  0.0	Va
44622.588 	55.71 	0.54  0.0	Va
44628.545 	55.47 	0.49  0.0	Va
44686.394 	56.17 	0.51  0.0	Va
44944.700 	55.05 	0.57  0.0	Va
44989.629 	54.63 	0.51  0.0	Va
45044.438 	52.85 	0.49  0.0	Va
45082.366 	48.45 	0.58  0.0	Va
45437.352 	52.09 	0.50  0.0	Va
46028.647 	52.25 	0.51  0.0	Va
46037.662 	53.16 	0.49  0.0	Va
46117.554 	44.39 	0.55  0.0	Va
46122.544 	44.05 	0.55  0.0	Va
46128.400 	42.63 	0.48  0.0	Va
46140.319 	41.36 	0.49  0.0	Va
46158.351 	38.78 	0.40  0.0	Va
46162.438 	38.92 	0.58  0.0	Va
47990.376 	52.68 	0.53  0.0	Va
48647.539 	55.88 	0.54  0.0	Va
43256.500 	67.47 	0.72  0.0	Vb
43434.661 	49.36 	0.40  0.0	Vb
43449.699 	50.58 	0.40  0.0	Vb
43450.706 	49.07 	0.40  0.0	Vb
43451.697 	49.93 	0.40  0.0	Vb
43466.692 	48.73 	0.40  0.0	Vb
43474.630 	49.28 	0.40  0.0	Vb
43480.635 	48.61 	0.40  0.0	Vb
43518.533 	47.21 	0.71  0.0	Vb
43530.537 	46.98 	0.40  0.0	Vb
43554.421 	45.35 	0.40  0.0	Vb
43560.571 	45.96 	0.40  0.0	Vb
43577.418 	45.98 	0.63  0.0	Vb
43592.380 	45.53 	0.59  0.0	Vb
43615.343 	44.27 	0.65  0.0	Vb
43871.540 	43.02 	0.63  0.0	Vb
43903.577 	43.56 	0.50  0.0	Vb
43918.460 	43.70 	0.51  0.0	Vb
44027.352 	46.29 	0.55  0.0	Vb
44189.709 	61.89 	0.32  0.0	Vb
44209.708 	64.41 	0.61  0.0	Vb
44306.461 	61.11 	0.56  0.0	Vb
44320.351 	59.57 	0.56  0.0	Vb
44348.315 	58.58 	0.58  0.0	Vb
44383.403 	54.85 	0.83  0.0	Vb
44396.346 	53.73 	0.40  0.0	Vb
44584.682 	45.64 	0.54  0.0	Vb
44622.588 	45.03 	0.56  0.0	Vb
44628.545 	44.73 	0.50  0.0	Vb
44686.394 	43.97 	0.52  0.0	Vb
44944.700 	44.07 	0.60  0.0	Vb
44989.629 	45.50 	0.52  0.0	Vb
45044.438 	47.69 	0.51  0.0	Vb
45082.366 	52.31 	0.60  0.0	Vb
45437.352 	47.36 	0.51  0.0	Vb
46028.647 	47.69 	0.52  0.0	Vb
46037.662 	48.38 	0.51  0.0	Vb
46117.554 	55.38 	0.57  0.0	Vb
46122.544 	56.34 	0.57  0.0	Vb
46128.400 	56.73 	0.49  0.0	Vb
46140.319 	58.45 	0.51  0.0	Vb
46158.351 	61.21 	0.40  0.0	Vb
46162.438 	61.79 	0.61  0.0	Vb
47990.376 	46.90 	0.54  0.0	Vb
48647.539 	43.52 	0.56  0.0	Vb