43256.500 	34.67	Va
43258.342 	33.82	Va
43434.661 	49.45	Va
43449.699 	50.27	Va
43450.706 	49.92	Va
43451.697 	49.37	Va
43466.692 	51.11	Va
43474.630 	50.75	Va
43480.635 	51.99	Va
43518.533 	51.95	Va
43530.537 	52.72	Va
43554.421 	53.39	Va
43560.571 	53.73	Va
43577.418 	54.22	Va
43592.380 	54.36	Va
43615.343 	55.28	Va
43871.540 	56.33	Va
43903.577 	56.10	Va
43918.460 	55.82	Va
44027.352 	54.48	Va
44189.696 	38.67	Va
44189.707 	38.31	Va
44208.702 	35.88	Va
44209.708 	35.40	Va
44210.680 	35.19	Va
44219.658 	34.54	Va
44228.575 	33.81	Va
44263.548 	33.72	Va
44274.402 	35.15	Va
44276.383 	35.12	Va
44281.492 	36.25	Va
44289.444 	36.59	Va
44306.461 	38.35	Va
44320.351 	39.69	Va
44348.315 	44.16	Va
44383.403 	45.47	Va
44396.346 	46.25	Va
44584.682 	54.56	Va
44622.588 	55.71	Va
44628.545 	55.47	Va
44686.394 	56.17	Va
44944.700 	55.05	Va
44989.629 	54.63	Va
45044.438 	52.85	Va
45082.366 	48.45	Va
45437.352 	52.09	Va
46028.647 	52.25	Va
46037.662 	53.16	Va
46117.554 	44.39	Va
46122.544 	44.05	Va
46128.400 	42.63	Va
46140.319 	41.36	Va
46158.351 	38.78	Va
46162.438 	38.92	Va
47990.376 	52.68	Va
48647.539 	55.88	Va
43256.500 	67.47	Vb
43434.661 	49.36	Vb
43449.699 	50.58	Vb
43450.706 	49.07	Vb
43451.697 	49.93	Vb
43466.692 	48.73	Vb
43474.630 	49.28	Vb
43480.635 	48.61	Vb
43518.533 	47.21	Vb
43530.537 	46.98	Vb
43554.421 	45.35	Vb
43560.571 	45.96	Vb
43577.418 	45.98	Vb
43592.380 	45.53	Vb
43615.343 	44.27	Vb
43871.540 	43.02	Vb
43903.577 	43.56	Vb
43918.460 	43.70	Vb
44027.352 	46.29	Vb
44189.709 	61.89	Vb
44209.708 	64.41	Vb
44306.461 	61.11	Vb
44320.351 	59.57	Vb
44348.315 	58.58	Vb
44383.403 	54.85	Vb
44396.346 	53.73	Vb
44584.682 	45.64	Vb
44622.588 	45.03	Vb
44628.545 	44.73	Vb
44686.394 	43.97	Vb
44944.700 	44.07	Vb
44989.629 	45.50	Vb
45044.438 	47.69	Vb
45082.366 	52.31	Vb
45437.352 	47.36	Vb
46028.647 	47.69	Vb
46037.662 	48.38	Vb
46117.554 	55.38	Vb
46122.544 	56.34	Vb
46128.400 	56.73	Vb
46140.319 	58.45	Vb
46158.351 	61.21	Vb
46162.438 	61.79	Vb
47990.376 	46.90	Vb
48647.539 	43.52	Vb